loss,accuracy,precision,recall,id,test_loss,test_accuracy,test_precision,test_recall
3.538201093673706,0.29273054003715515,0.9922480583190918,0.04163278639316559,1,2.946197986602783,0.35196077823638916,0.925000011920929,0.10882353037595749
1.6581878662109375,0.7028785347938538,0.9920074939727783,0.3431452214717865,2,1.6146197319030762,0.6730391979217529,0.9731707572937012,0.3911764621734619
0.9409247040748596,0.855423629283905,0.9933407306671143,0.582208514213562,3,0.9776188135147095,0.8132352828979492,0.9852941036224365,0.591176450252533
0.5777738690376282,0.9268173575401306,0.9936584234237671,0.7389819622039795,4,0.6505205631256104,0.8838235139846802,0.9831194877624512,0.7137255072593689
0.37779003381729126,0.9565783143043518,0.9948186278343201,0.8430638909339905,5,0.4486117660999298,0.9235293865203857,0.9857904314994812,0.8161764740943909
0.26280349493026733,0.9728410840034485,0.9942682981491089,0.9027484059333801,6,0.3426869213581085,0.9406862854957581,0.9827394485473633,0.8651960492134094
0.18674086034297943,0.9855260848999023,0.9962009787559509,0.9382013082504272,7,0.28451821208000183,0.9480392336845398,0.9828141927719116,0.8970588445663452
0.14322330057621002,0.9871523976325989,0.9964454770088196,0.9573914408683777,8,0.23221181333065033,0.9573529362678528,0.9832548499107361,0.9210784435272217
0.11014976352453232,0.991218090057373,0.9963321089744568,0.9718653559684753,9,0.21492354571819305,0.9553921818733215,0.981249988079071,0.9235293865203857
0.08487590402364731,0.9952837824821472,0.9976893663406372,0.9830867052078247,10,0.19379130005836487,0.9593137502670288,0.9809474945068359,0.9338235259056091
0.06821483373641968,0.9960969090461731,0.9975393414497375,0.9889413118362427,11,0.1807846575975418,0.9617646932601929,0.9801324605941772,0.9431372284889221
0.05487224459648132,0.9978858232498169,0.9983625411987305,0.9915433526039124,12,0.1651417762041092,0.966176450252533,0.9811896085739136,0.9460784196853638
0.04544666409492493,0.9975605607032776,0.9986928105354309,0.99398273229599,13,0.157247394323349,0.9647058844566345,0.9816886782646179,0.9460784196853638
0.04201764613389969,0.9972352981567383,0.9988560080528259,0.99398273229599,14,0.1436450034379959,0.966176450252533,0.9808274507522583,0.9529411792755127
0.033170778304338455,0.9977232217788696,0.9990215301513672,0.9962595701217651,15,0.14722852408885956,0.9691176414489746,0.97935551404953,0.9534313678741455
0.031812600791454315,0.9985363483428955,0.9990208745002747,0.9956090450286865,16,0.1416327804327011,0.9686274528503418,0.9808564186096191,0.9544117450714111
0.024536963552236557,0.9990242123603821,0.9995115399360657,0.9983737468719482,17,0.13965924084186554,0.9686274528503418,0.982367753982544,0.9558823704719543
0.022140422835946083,0.9991868734359741,0.9995113015174866,0.9978858232498169,18,0.1322769671678543,0.968137264251709,0.9799799919128418,0.9598039388656616
0.020057713612914085,0.9991868734359741,0.9998370409011841,0.9977232217788696,19,0.12181456387042999,0.9715686440467834,0.9819548726081848,0.9602941274642944
0.019718414172530174,0.9978858232498169,0.9985349178314209,0.9975605607032776,20,0.15072032809257507,0.9637255072593689,0.9768844246864319,0.9529411792755127
0.019416052848100662,0.9993494749069214,0.9995107650756836,0.9967474341392517,21,0.12741467356681824,0.9696078300476074,0.9829403162002563,0.9602941274642944
0.014417405240237713,0.9995121359825134,0.999674379825592,0.9985363483428955,22,0.12963609397411346,0.9691176414489746,0.9804707169532776,0.9598039388656616
0.012701429426670074,0.9991868734359741,0.999349057674408,0.9986989498138428,23,0.115623340010643,0.9740195870399475,0.9830169677734375,0.9647058844566345
0.01601438783109188,0.9985363483428955,0.9993481040000916,0.9972352981567383,24,0.11679883301258087,0.9700980186462402,0.9810379147529602,0.9637255072593689
0.016168460249900818,0.9983737468719482,0.9988604784011841,0.9978858232498169,25,0.11958261579275131,0.9691176414489746,0.9799900054931641,0.9602941274642944
0.01118646189570427,0.9995121359825134,0.9995117783546448,0.9988616108894348,26,0.113341324031353,0.968137264251709,0.9790732264518738,0.9632353186607361
0.010858518071472645,0.9993494749069214,0.9993492960929871,0.9990242123603821,27,0.11778689175844193,0.9700980186462402,0.9790732264518738,0.9632353186607361
0.013721657916903496,0.9982110857963562,0.9983721375465393,0.9973979592323303,28,0.10595016181468964,0.9740195870399475,0.9840239882469177,0.966176450252533
